Fiscal Year,Category,Type,Scope,Description,Emissions
2022,Corporate emissions,Gross emissions,Scope 1,Others,39700
2022,Corporate emissions,Gross emissions,Scope 1,Others,12600
2022,Corporate emissions,Gross emissions,Scope 1,Others,2900
2022,Corporate emissions,Gross emissions,Scope 2 (market-based),Others,0
2022,Corporate emissions,Gross emissions,Scope 2 (market-based),Others,3000
2022,Corporate emissions,Gross emissions,Scope 3,Others,113500
2022,Corporate emissions,Gross emissions,Scope 3,Others,134200
2022,Corporate emissions,Gross emissions,Scope 3,Others,10600
2022,Corporate emissions,Gross emissions,Scope 3,Others,7500
2022,Corporate emissions,Gross emissions,Scope 3,Others,0
2022,Corporate emissions,Gross emissions,Scope 3,Others,0
2022,Corporate emissions,Carbon removals,,Others,-324100
2022,Product life cycle emissions,Gross emissions,Scope 3,Manufacturing,13400000
2022,Product life cycle emissions,Gross emissions,Scope 3,Product transportation,1900000
2022,Product life cycle emissions,Gross emissions,Scope 3,Product use,4900000
2022,Product life cycle emissions,Gross emissions,Scope 3,Others,80000
2022,Product life cycle emissions,Carbon removals,,Others,0
2021,Corporate emissions,Gross emissions,Scope 1,Others,40070
2021,Corporate emissions,Gross emissions,Scope 1,Others,12090
2021,Corporate emissions,Gross emissions,Scope 1,Others,3040
2021,Corporate emissions,Gross emissions,Scope 2 (market-based),Others,0
2021,Corporate emissions,Gross emissions,Scope 2 (market-based),Others,2780
2021,Corporate emissions,Gross emissions,Scope 3,Others,22850
2021,Corporate emissions,Gross emissions,Scope 3,Others,85570
2021,Corporate emissions,Gross emissions,Scope 3,Others,0
2021,Corporate emissions,Gross emissions,Scope 3,Others,0
2021,Corporate emissions,Gross emissions,Scope 3,Others,
2021,Corporate emissions,Gross emissions,Scope 3,Others,0
2021,Corporate emissions,Carbon removals,,Others,-167000
2021,Product life cycle emissions,Gross emissions,Scope 3,Manufacturing,16200000
2021,Product life cycle emissions,Gross emissions,Scope 3,Product transportation,1750000
2021,Product life cycle emissions,Gross emissions,Scope 3,Product use,4990000
2021,Product life cycle emissions,Gross emissions,Scope 3,Others,80000
2021,Product life cycle emissions,Carbon removals,,Others,-500000
2020,Corporate emissions,Gross emissions,Scope 1,Others,39340
2020,Corporate emissions,Gross emissions,Scope 1,Others,4270
2020,Corporate emissions,Gross emissions,Scope 1,Others,3830
2020,Corporate emissions,Gross emissions,Scope 2 (market-based),Others,0
2020,Corporate emissions,Gross emissions,Scope 2 (market-based),Others,0
2020,Corporate emissions,Gross emissions,Scope 3,Others,153000
2020,Corporate emissions,Gross emissions,Scope 3,Others,134000
2020,Corporate emissions,Gross emissions,Scope 3,Others,0
2020,Corporate emissions,Gross emissions,Scope 3,Others,0
2020,Corporate emissions,Gross emissions,Scope 3,Others,
2020,Corporate emissions,Gross emissions,Scope 3,Others,0
2020,Corporate emissions,Carbon removals,,Others,-70000
2020,Product life cycle emissions,Gross emissions,Scope 3,Manufacturing,16100000
2020,Product life cycle emissions,Gross emissions,Scope 3,Product transportation,1800000
2020,Product life cycle emissions,Gross emissions,Scope 3,Product use,4300000
2020,Product life cycle emissions,Gross emissions,Scope 3,Others,60000
2020,Product life cycle emissions,Carbon removals,,Others,0
2019,Corporate emissions,Gross emissions,Scope 1,Others,40910
2019,Corporate emissions,Gross emissions,Scope 1,Others,6950
2019,Corporate emissions,Gross emissions,Scope 1,Others,4870
2019,Corporate emissions,Gross emissions,Scope 2 (market-based),Others,0
2019,Corporate emissions,Gross emissions,Scope 2 (market-based),Others,0
2019,Corporate emissions,Gross emissions,Scope 3,Others,326000
2019,Corporate emissions,Gross emissions,Scope 3,Others,195000
2019,Corporate emissions,Gross emissions,Scope 3,Others,0
